Plot ,Time ,Plot ,Treatment ,Total cover,S,,Castilleja miniata,Poaceae,Mertensia fusiformis,Delphinium nuttallianum,Hydrophyllum capitatum,Cymopterus lemmonii,Lomatium dissectum,Amelanchier alnifolia,Taraxacum officianale,Paxistima myrsinites,Unknown Plant #1,Heterotheca villosa,Achillea millefolium,Helianthella quinqueneruis,Potentilla gracilis, Potentilla hippiana ,Claytonia lanceolata,Mahonia repens,Vicia americana,Artemisia (tridentata or tripartita),Poa partensis,boechera ,Rosa woodsii,Gentiana parryi,Viola andunca,Unknown Plant #2,Thalictrum fendleri ,Vaccinium myrtillus,Lathyrus lanszwertii,Viola praemorsa,Frageria virginiana ,Draba aurea,senecio canus,Arenaria congesta,Erigeron Speciosus,Sedum lanceolatum,Ipomopsis aggregata,Unknown Plant #3,Galium Boreale,Unknown Plant #4,Unknown Plant #5,Phleum pratense,Phacelia hastata,Triteleia grandiflora,Stipa richardsonii
1,2011,1,Removal,1,15,,0,0.30927835,0,0,0.01030928,0,0.15463918,0,0.01030928,0,0.05154639,0.10309278,0.05154639,0.10309278,0,0.10309278,0,0,0,0.01030928,0.01030928,0,0,0,0,0,0,0,0.01030928,0,0,0,0.01030928,0.05154639,0,0,0,0.01030928,0,0,0,0,0,0,0
2,2011,2,Control,1.29069767,16,,0.29069767,0.11627907,0,0,0,0,0.05813953,0,0.01162791,0.05813953,0.05813953,0.23255814,0,0.01162791,0.01162791,0.1744186,0,0.05813953,0,0,0.01162791,0,0,0,0,0,0,0,0,0,0.01162791,0,0.05813953,0.05813953,0,0,0,0.01162791,0.05813953,0,0,0,0,0,0
3,2011,3,Random,1.45454545,12,,0.45454545,0.37878788,0,0,0,0.01515152,0,0,0,0.15151515,0.07575758,0.01515152,0.15151515,0.01515152,0,0,0,0.07575758,0,0,0.01515152,0,0,0,0,0,0,0,0.01515152,0,0,0,0,0,0,0,0,0,0,0.01515152,0.07575758,0,0,0,0
4,2011,4,Removal,1,14,,0,0.18518519,0,0,0,0.00925926,0.00925926,0,0,0.0462963,0,0.23148148,0,0.0462963,0,0.09259259,0,0.09259259,0,0,0,0,0,0.0462963,0,0,0,0,0,0,0,0.09259259,0.00925926,0.0462963,0.0462963,0,0,0,0,0,0,0.0462963,0,0,0
5,2011,5,Control,1.43103448,10,,0.43103448,0.25862069,0,0,0,0,0,0,0,0.0862069,0,0.17241379,0,0,0,0,0,0.0862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862069,0.01724138,0.17241379,0,0,0,0,0,0,0.0862069,0.01724138,0.01724138,0
6,2011,6,Random,1.08474576,12,,0.08474576,0.08474576,0,0,0,0,0,0,0,0.25423729,0,0.08474576,0.01694915,0,0,0,0,0.16949153,0,0,0,0,0,0.08474576,0,0,0,0,0,0,0,0.01694915,0.08474576,0.01694915,0.08474576,0,0,0,0.08474576,0.01694915,0,0,0,0,0
7,2011,7,Control,1.29850746,8,,0.29850746,0.14925373,0,0,0,0,0,0,0.01492537,0.2238806,0.01492537,0.29850746,0,0.07462687,0,0.14925373,0,0,0.07462687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011,8,Removal,1,12,,0,0.05813953,0,0,0.01162791,0,0,0,0,0.11627907,0,0.01162791,0,0.05813953,0,0,0,0,0.01162791,0,0.01162791,0,0,0,0,0,0,0.52325581,0.01162791,0,0,0,0.01162791,0.11627907,0.05813953,0,0,0,0,0,0,0,0,0,0
9,2011,9,Random,1.01136364,10,,0.01136364,0.45454545,0,0,0,0,0,0,0,0.05681818,0.05681818,0,0.01136364,0,0.01136364,0,0,0,0.11363636,0,0.01136364,0,0,0,0,0,0,0,0.05681818,0,0,0,0,0.05681818,0.17045455,0,0,0,0,0,0,0,0,0,0
10,2011,10,Control,1.1,12,,0.1,0.15,0,0,0,0.01,0,0,0,0.1,0.01,0.01,0.05,0.25,0,0.25,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0
11,2011,11,Removal,1,13,,0,0.11627907,0,0,0,0,0,0,0,0.34883721,0.05813953,0,0,0.01162791,0,0.01162791,0,0.11627907,0.11627907,0,0.01162791,0,0,0,0,0,0,0,0,0,0,0,0,0.11627907,0.05813953,0.01162791,0,0,0,0.01162791,0.01162791,0,0,0,0
12,2011,12,Random,1.26315789,10,,0.26315789,0.46052632,0,0,0,0.01315789,0,0,0,0.26315789,0,0,0,0.13157895,0.01315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01315789,0,0.06578947,0.01315789,0,0,0.01315789,0.01315789,0,0,0,0,0
13,2011,13,Removal,1,16,,0,0.32894737,0,0,0,0.01315789,0,0,0,0.32894737,0.01315789,0,0,0.01315789,0,0,0,0.06578947,0.06578947,0.01315789,0.06578947,0,0.01315789,0,0,0.01315789,0,0,0,0,0,0,0,0,0.01315789,0,0,0.01315789,0.01315789,0.01315789,0,0,0.01315789,0,0
14,2011,14,Control,1.10309278,9,,0.10309278,0.36082474,0,0,0,0.05154639,0,0,0,0.10309278,0.01030928,0,0,0.05154639,0,0,0,0,0,0.05154639,0,0,0.05154639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01030928,0,0,0,0,0.30927835,0,0
15,2011,15,Random,1.22058824,13,,0.22058824,0.51470588,0,0,0,0,0.01470588,0,0,0.07352941,0.01470588,0.07352941,0.01470588,0.01470588,0,0,0,0,0,0.14705882,0.01470588,0,0,0,0,0,0,0,0.01470588,0,0,0,0.01470588,0,0.07352941,0.01470588,0,0,0,0,0,0,0,0,0
16,2011,16,Random,1,10,,0,0.20547945,0,0,0,0,0.1369863,0,0.01369863,0.20547945,0,0,0,0,0.06849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01369863,0,0,0,0,0.1369863,0.1369863,0,0.06849315,0,0.01369863,0,0,0,0,0,0
17,2011,17,Control,1.1369863,15,,0.1369863,0.20547945,0,0,0.01369863,0,0.1369863,0,0.01369863,0,0.06849315,0.1369863,0,0.01369863,0,0,0,0,0,0.1369863,0.01369863,0,0,0,0,0,0,0,0.1369863,0,0,0,0.06849315,0.01369863,0.01369863,0,0,0,0.01369863,0,0,0,0,0,0.01369863
18,2011,18,Removal,1,8,,0,0.29411765,0,0,0,0,0.07352941,0,0,0.36764706,0.01470588,0.07352941,0,0,0,0,0,0,0,0,0.01470588,0,0,0,0,0,0,0,0,0,0,0,0,0.01470588,0.14705882,0,0,0,0,0,0,0,0,0,0
1,2012,1,Removal,0.98,11,0.70667435,0,0.4,0,0,0.01,0,0.1,0,0.01,0,0.05,0.05,0.1,0.05,0,0.1,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2,2012,2,Control,1.12,14,0.80876356,0.25,0.05,0,0,0,0,0.05,0,0,0.05,0.05,0.1,0,0.01,0.01,0.1,0,0.1,0,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.05,0,0,0,0,0.05,0,0,0,0,0,0
3,2012,3,Random,1.24,11,0.68395911,0.3,0.3,0,0,0,0.01,0,0,0,0.15,0.05,0.01,0.2,0.01,0,0,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0
4,2012,4,Removal,1.09,14,0.74188255,0,0.25,0,0,0,0.01,0.01,0,0,0.01,0,0.05,0,0.05,0,0.01,0,0.1,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.1,0.1,0.05,0.1,0,0,0,0,0,0,0.2,0,0,0
5,2012,5,Control,1.5,10,0.78763451,0.3,0.25,0,0,0,0,0,0,0,0.15,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.2,0,0,0,0,0,0,0.1,0.05,0.1,0
6,2012,6,Random,0.95,12,0.67972689,0.05,0.05,0,0,0,0,0,0,0,0.25,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.01,0.1,0.01,0.01,0,0,0,0.1,0.05,0,0,0,0,0
7,2012,7,Control,1.16,9,0.74924546,0.29,0.15,0,0,0,0,0,0,0.01,0.2,0.01,0.2,0,0.1,0,0.1,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0
8,2012,8,Removal,1.06,13,0.63214994,0,0.1,0,0,0.1,0,0,0,0.01,0.1,0,0.01,0,0.05,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.5,0.01,0,0,0,0.01,0.05,0.1,0,0,0,0,0,0,0,0,0,0
9,2012,9,Random,0.94,10,0.69171095,0.05,0.4,0,0,0,0,0,0,0.01,0.01,0.05,0,0.01,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0,0,0,0
10,2012,10,Control,1.02,10,0.82447594,0.15,0.1,0,0,0,0.05,0,0,0,0.1,0.1,0,0.05,0.2,0,0.15,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0
11,2012,11,Removal,1,13,0.63672807,0,0.1,0,0,0,0,0,0,0,0.4,0.05,0,0,0.01,0,0.01,0,0.1,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.01,0,0,0,0.01,0.01,0,,0,0
12,2012,12,Random,1.1,8,0.66483566,0.22,0.4,0,0,0,0.01,0,0,0,0.2,0,0.01,0,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.05,0,0,0,0,0,0
13,2012,13,Removal,0.81,7,0.80114306,0,0.3,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.05,0.01,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.1,0,0
14,2012,14,Control,1.11,8,0.74037608,0.3,0.2,0,0,0,0.05,0,0,0,0.05,0.01,0,0,0.1,0,0,0,0,0,0.1,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
15,2012,15,Random,1.02,9,0.72101418,0.2,0.35,0,0,0,0,0.1,0,0,0.05,0.01,0.05,0.1,0.01,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0
16,2012,16,Random,0.83,10,0.81722689,0,0.1,0,0,0,0,0.05,0,0.01,0.25,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.1,0.2,0,0.05,0,0.01,0,0,0,0,0,0
17,2012,17,Control,1.12,11,0.75281603,0.24,0.1,0,0,0.01,0,0.1,0,0.01,0,0.05,0.05,0,0.01,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.05
18,2012,18,Removal,1.02,6,0.76174238,0,0.3,0,0,0,0,0.1,0,0,0.4,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0