plant,species,fx_group,photosynthesis,life_history,native,subshrub
Castilleja.miniata,Castilleja.miniata,hemiparasite,C3,perennial,native,subshrub
Poaceae,Poaceae,grass,NA,NA,NA,
Mertensia.fusiformis,Mertensia.fusiformis,forb,C3,annual,native,
Delphinium.nuttallianum,Delphinium.nuttallianum,forb,C3,perennial,native,
Hydrophyllum capitatum,Hydrophyllum.capitatum,forb,C3,perennial,native,
Cymopterus lemmonii,Cymopterus.lemmonii,forb,C3,perennial,native,
Lomatium dissectum,Lomatium.dissectum,forb,C3,perennial,native,
Amelanchier alnifolia,Amelanchier.alnifolia,shrub,C3,perennial,native,
Taraxacum officinale,Taraxacum.officianale,forb,C3,perennial,both,
Paxistima myrsinites,Paxistima.myrsinites,shrub,C3,perennial,native,
Unknown Plant #1,Unknown.Plant..1,NA,NA,NA,NA,
Heterotheca villosa,Heterotheca.villosa,forb,C3,perennial,native,subshrub
Achillea millefolium,Achillea.millefolium,forb,C3,perennial,both,
Helianthella quinquenervis,Helianthella.quinqueneruis,forb,C3,perennial,native,
Potentilla gracilis,Potentilla.gracilis,forb,C3,perennial,native,
Potentilla hippiana ,Potentilla.hippiana,forb,C3,perennial,native,
Claytonia lanceolata,Claytonia.lanceolata,forb,C3,perennial,native,
Mahonia repens,Mahonia.repens,shrub,C3,perennial,native,subshrub
Vicia americana,Vicia.americana,legume,C3,perennial,native,
Artemisia (tridentata or tripartita),Artemisia..tridentata.or.tripartita.,shrub,C3,perennial,native,
Poa pratensis,Poa.partensis,grass,C3,perennial,both,
boechera ,boechera,forb,C3,NA,NA,
Rosa woodsii,Rosa.woodsii,shrub,C3,perennial,native,subshrub
Gentiana parryi,Gentiana.parryi,forb,C3,perennial,native,
Viola andunca,Viola.andunca,forb,C3,perennial,native,
Unknown Plant #2,Unknown.Plant..2,NA,NA,NA,NA,
Thalictrum fendleri ,Thalictrum.fendleri,forb,C3,perennial,native,
Vaccinium myrtillus,Vaccinium.myrtillus,shrub,C3,perennial,native,subshrub
Lathyrus lanszwertii,Lathyrus.lanszwertii,legume,C3,perennial,native,
Viola praemorsa,Viola.praemorsa,forb,C3,perennial,native,
Fragaria virginiana ,Frageria.virginiana,forb,C3,perennial,native,
Draba aurea,Draba.aurea,forb,C3,perennial,native,
senecio canus,senecio.canus,forb,C3,perennial,native,
Arenaria congesta,Arenaria.congesta,forb,C3,perennial,native,subshrub
Erigeron Speciosus,Erigeron.Speciosus,forb,C3,perennial,native,subshrub
Sedum lanceolatum,Sedum.lanceolatum,forb,CAM,perennial,native,
Ipomopsis aggregata,Ipomopsis.aggregata,forb,C3,perennial,native,
Unknown Plant #3,Unknown.Plant..3,NA,NA,NA,NA,
Galium Boreale,Galium.Boreale,forb,C3,perennial,native,
Unknown Plant #4,Unknown.Plant..4,NA,NA,NA,NA,
Unknown Plant #5,Unknown.Plant..5,NA,NA,NA,NA,
Phleum pratense,Phleum.pratense,grass,C3,perennial,native,
Phacelia hastata,Phacelia.hastata,forb,C3,perennial,native,
Triteleia grandiflora,Triteleia.grandiflora,forb,C3,perennial,native,
Stipa richardsonii,Stipa.richardsonii,grass,C3,perennial,native,